company_name,cik
Rosetta Genomics Ltd.,1362959
Royal Dutch Shell plc,1306965
Rusoro Mining Ltd.,1450493
SADIA S.A.,1130968
"SAFE BULKERS, INC.",1434754
SAMEX MINING CORP,766504
SANOFI-AVENTIS,1121404
SAP AG,1000184
SAPIENS INTERNATIONAL CORP N V,885740
SAPPI LTD,1072483
SASOL LTD,314590
SATELITES MEXICANOS SA DE CV,1063131
SATYAM COMPUTER SERVICES LTD,1106056
SEABRIDGE GOLD INC,1231346
SEANERGY MARITIME CORP.,1390707
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORP,1267482
SHANDA INTERACTIVE ENTERTAINMENT LTD,1278308
SHAW COMMUNICATIONS INC,932872
SHINHAN FINANCIAL GROUP CO LTD,1263043
SIEMENS AKTIENGESELLSCHAFT,1135644
SIERRA WIRELESS INC,1111863
SIFY TECHNOLOGIES LTD,1094324
SIGNET JEWELERS LTD,832988
SILICOM LTD,916793
SILICONWARE PRECISION INDUSTRIES CO LTD,1111759
SILVER STANDARD RESOURCES INC,921638
SILVERCORP METALS INC,1340677
SINOPEC SHANGHAI PETROCHEMICAL CO LTD,908732
SINOVAC BIOTECH LTD,1084201
SK TELECOM CO LTD,1015650
SMITH & NEPHEW PLC,845982
SONY CORP,313838
SOUTHEAST AIRPORT GROUP,1123452
SPREADTRUM COMMUNICATIONS INC,1287950
STANTEC INC,1131383
STARFIELD RESOURCES INC,1074795
STARLIMS Technologies Ltd,1396278
STATOIL ASA,1140625
STATS CHIPPAC LTD.,1101873
STERLITE INDUSTRIES (INDIA) LTD,1370431
STEWART W P & CO LTD,750443
STMICROELECTRONICS NV,932787
STREAM COMMUNICATIONS NETWORK & MEDIA INC.,1125670
SUN LIFE FINANCIAL INC,1097362
SUNCOR ENERGY INC,311337
SWEDISH EXPORT CREDIT CORP /SWED/,352960
SYNGENTA AG,1123661
Samson Oil & Gas LTD,1404079
Scailex CORP Ltd.,315816
Scopus Video Networks Ltd.,1342575
Seanergy Maritime Holdings Corp.,1448397
Seaspan CORP,1332639
Seven Arts Pictures PLC,1408276
Shamir Optical Industry Ltd.,1317362
Ship Finance International LTD,1289877
Silicon Motion Technology CORP,1329394
Silver Wheaton Corp.,1323404
Simcere Pharmaceutical Group,1384360
Sims Metal Management Ltd,928366
"Solarfun Power Holdings Co., Ltd.",1371541
AutoChina International Ltd,1417370
Star Bulk Carriers Corp.,1386716
StealthGas Inc.,1328919
Strathmore Minerals Corp.,1310287
"Suntech Power Holdings Co., Ltd.",1342803
Syneron Medical Ltd.,1291361
TAG OIL LTD,912785
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,1046179
TALISMAN ENERGY INC,201283
TAM S.A.,1353691
TANZANIAN ROYALTY EXPLORATION CORP,1173643
TARO PHARMACEUTICAL INDUSTRIES LTD,906338
